Comment,Designator,Footprint,LCSC Part #
1k,R6,R0805,
1u  6.3V,C6,C0805,
1u  6.3V,C8,C0805,
1u  6.3V,C9,C0805,
3.3u,L1,L3225P,
8.2k,R3,R0805,
10k,R1,R0805,
10u  6.3V,C2,C0805,
10u  6.3V,C3,C0805,
20k,R2,R0805,
100,R4 R5,R0805,
100n  6.3V,C1,C0805,
100n  6.3V,C4,C0805,
100n  6.3V,C5,C0805,
100n  6.3V,C7,C0805,
HX711,U1,SOP127P600X180-16N,
MMBT4403LT1SMD,Q1,SOT23-BEC,
