Designator,Mid X,Mid Y,Layer,Rotation
C1,36.58,21.34,Top,270.0
C2,39.62,21.34,Top,90.0
C3,23.37,10.16,Top,0.0
C4,22.86,13.97,Top,90.0
C5,16.61, 4.22,Top,0.0
C6,16.61, 1.32,Top,0.0
C7,32.16, 5.18,Top,270.0
C8,46.08,18.90,Top,90.0
C9,22.05, 1.32,Top,0.0
L1,17.04, 8.84,Top,0.0
Q1,27.94,19.05,Top,90.0
R1,46.99,22.86,Top,0.0
R2,27.94,13.97,Top,0.0
R3,27.94,10.16,Top,180.0
R4,16.51,12.70,Top,0.0
R5,16.51,15.24,Top,0.0
R6,29.51, 5.18,Top,270.0
U1,38.10,12.83,Top,0.0
